overlap_key_type,overlap_key,n_rows,datasets,splits,overlap_type,relative_image_paths,hash_check_performed
filename,IDRiD_001.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/eproDR/IDRiD_001.png;IDRiD_data/train/dsevereDR/IDRiD_001.png,True
filename,IDRiD_002.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/eproDR/IDRiD_002.png;IDRiD_data/train/dsevereDR/IDRiD_002.png,True
filename,IDRiD_003.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/eproDR/IDRiD_003.png;IDRiD_data/train/cmoderateDR/IDRiD_003.png,True
filename,IDRiD_004.png,2,IDRiD_data,test;val,cross_split_within_dataset,IDRiD_data/test/eproDR/IDRiD_004.png;IDRiD_data/val/dsevereDR/IDRiD_004.png,True
filename,IDRiD_005.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/eproDR/IDRiD_005.png;IDRiD_data/train/eproDR/IDRiD_005.png,True
filename,IDRiD_006.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_006.png;IDRiD_data/train/eproDR/IDRiD_006.png,True
filename,IDRiD_007.png,2,IDRiD_data,test;val,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_007.png;IDRiD_data/val/eproDR/IDRiD_007.png,True
filename,IDRiD_008.png,2,IDRiD_data,test;val,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_008.png;IDRiD_data/val/eproDR/IDRiD_008.png,True
filename,IDRiD_009.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_009.png;IDRiD_data/train/dsevereDR/IDRiD_009.png,True
filename,IDRiD_010.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_010.png;IDRiD_data/train/eproDR/IDRiD_010.png,True
filename,IDRiD_011.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_011.png;IDRiD_data/train/dsevereDR/IDRiD_011.png,True
filename,IDRiD_012.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_012.png;IDRiD_data/train/dsevereDR/IDRiD_012.png,True
filename,IDRiD_013.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_013.png;IDRiD_data/train/dsevereDR/IDRiD_013.png,True
filename,IDRiD_014.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_014.png;IDRiD_data/train/eproDR/IDRiD_014.png,True
filename,IDRiD_015.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_015.png;IDRiD_data/train/eproDR/IDRiD_015.png,True
filename,IDRiD_016.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_016.png;IDRiD_data/train/cmoderateDR/IDRiD_016.png,True
filename,IDRiD_017.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_017.png;IDRiD_data/train/eproDR/IDRiD_017.png,True
filename,IDRiD_018.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_018.png;IDRiD_data/train/cmoderateDR/IDRiD_018.png,True
filename,IDRiD_019.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_019.png;IDRiD_data/train/cmoderateDR/IDRiD_019.png,True
filename,IDRiD_020.png,2,IDRiD_data,test;val,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_020.png;IDRiD_data/val/cmoderateDR/IDRiD_020.png,True
filename,IDRiD_021.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_021.png;IDRiD_data/train/bmildDR/IDRiD_021.png,True
filename,IDRiD_022.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_022.png;IDRiD_data/train/eproDR/IDRiD_022.png,True
filename,IDRiD_023.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_023.png;IDRiD_data/train/dsevereDR/IDRiD_023.png,True
filename,IDRiD_024.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_024.png;IDRiD_data/train/eproDR/IDRiD_024.png,True
filename,IDRiD_025.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_025.png;IDRiD_data/train/dsevereDR/IDRiD_025.png,True
filename,IDRiD_026.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_026.png;IDRiD_data/train/dsevereDR/IDRiD_026.png,True
filename,IDRiD_027.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_027.png;IDRiD_data/train/eproDR/IDRiD_027.png,True
filename,IDRiD_028.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_028.png;IDRiD_data/train/eproDR/IDRiD_028.png,True
filename,IDRiD_029.png,2,IDRiD_data,test;val,cross_split_within_dataset,IDRiD_data/test/anoDR/IDRiD_029.png;IDRiD_data/val/cmoderateDR/IDRiD_029.png,True
filename,IDRiD_030.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/anoDR/IDRiD_030.png;IDRiD_data/train/eproDR/IDRiD_030.png,True
filename,IDRiD_031.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_031.png;IDRiD_data/train/eproDR/IDRiD_031.png,True
filename,IDRiD_032.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/eproDR/IDRiD_032.png;IDRiD_data/train/eproDR/IDRiD_032.png,True
filename,IDRiD_033.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/cmoderateDR/IDRiD_033.png;IDRiD_data/train/eproDR/IDRiD_033.png,True
filename,IDRiD_034.png,2,IDRiD_data,test;val,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_034.png;IDRiD_data/val/dsevereDR/IDRiD_034.png,True
filename,IDRiD_035.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_035.png;IDRiD_data/train/dsevereDR/IDRiD_035.png,True
filename,IDRiD_036.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_036.png;IDRiD_data/train/dsevereDR/IDRiD_036.png,True
filename,IDRiD_037.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/anoDR/IDRiD_037.png;IDRiD_data/train/cmoderateDR/IDRiD_037.png,True
filename,IDRiD_038.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/anoDR/IDRiD_038.png;IDRiD_data/train/cmoderateDR/IDRiD_038.png,True
filename,IDRiD_039.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/anoDR/IDRiD_039.png;IDRiD_data/train/dsevereDR/IDRiD_039.png,True
filename,IDRiD_040.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/eproDR/IDRiD_040.png;IDRiD_data/train/dsevereDR/IDRiD_040.png,True
filename,IDRiD_041.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/anoDR/IDRiD_041.png;IDRiD_data/train/cmoderateDR/IDRiD_041.png,True
filename,IDRiD_042.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/dsevereDR/IDRiD_042.png;IDRiD_data/train/cmoderateDR/IDRiD_042.png,True
filename,IDRiD_043.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/anoDR/IDRiD_043.png;IDRiD_data/train/cmoderateDR/IDRiD_043.png,True
filename,IDRiD_044.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/anoDR/IDRiD_044.png;IDRiD_data/train/cmoderateDR/IDRiD_044.png,True
filename,IDRiD_045.png,2,IDRiD_data,test;train,cross_split_within_dataset,IDRiD_data/test/anoDR/IDRiD_045.png;IDRiD_data/train/cmoderateDR/IDRiD_045.png,True
