dataset,backbone,ranking_target,ranking_method,budget,rank,review_flag,target_event,true_grade,pred_grade,relative_image_path,confidence,margin,entropy,expected_grade,severe_prob_mass,expected_gap,gated_severe_prob_mass,ranking_score
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,1,True,False,0,1,IDRiD_data/test/anoDR/IDRiD_075.png,0.3747008144855499,0.0595958232879638,1.310704231262207,2.09729552268982,0.284975916147232,1.0972955226898191,0.284975916147232,1.0972955226898191
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,2,True,False,2,1,IDRiD_data/test/cmoderateDR/IDRiD_059.png,0.3756903409957886,0.0394217669963836,1.318698525428772,2.056038856506348,0.2711695730686188,1.0560388565063477,0.2711695730686188,1.0560388565063477
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,3,True,True,3,1,IDRiD_data/test/dsevereDR/IDRiD_027.png,0.3626122176647186,0.0190632045269012,1.3370192050933838,2.0489749908447266,0.2670720219612121,1.0489749908447266,0.2670720219612121,1.0489749908447266
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,4,True,False,3,2,IDRiD_data/test/dsevereDR/IDRiD_042.png,0.4594313502311706,0.1423923373222351,1.1484540700912476,2.674006462097168,0.5108823776245117,0.674006462097168,0.5108823776245117,0.674006462097168
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,5,True,False,3,2,IDRiD_data/test/dsevereDR/IDRiD_066.png,0.4706868827342987,0.1406471133232116,1.1502569913864136,2.600841999053955,0.4871256947517395,0.6008419990539551,0.4871256947517395,0.6008419990539551
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,6,True,True,4,1,IDRiD_data/test/eproDR/IDRiD_048.png,0.4723359942436218,0.0596208572387695,1.086488127708435,1.5843756198883057,0.0769660919904708,0.5843756198883057,0.0769660919904708,0.5843756198883057
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,7,True,False,1,0,IDRiD_data/test/bmildDR/IDRiD_063.png,0.501244068145752,0.0537890195846557,0.8850118517875671,0.5663408637046814,0.0086883399635553,0.5663408637046814,0.0086883399635553,0.5663408637046814
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,8,True,True,2,0,IDRiD_data/test/cmoderateDR/IDRiD_084.png,0.5312963128089905,0.1090770661830902,0.8786541819572449,0.5451921224594116,0.016000697389245,0.5451921224594116,0.016000697389245,0.5451921224594116
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,9,True,False,0,0,IDRiD_data/test/anoDR/IDRiD_041.png,0.5268502831459045,0.1014075577259063,0.8748406767845154,0.5403238534927368,0.0103012435138225,0.5403238534927368,0.0103012435138225,0.5403238534927368
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,10,True,False,0,0,IDRiD_data/test/anoDR/IDRiD_030.png,0.544305682182312,0.1319820284843444,0.8656161427497864,0.5266218781471252,0.0146642979234457,0.5266218781471252,0.0146642979234457,0.5266218781471252
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,11,True,False,0,0,IDRiD_data/test/anoDR/IDRiD_077.png,0.5707359910011292,0.1897019445896148,0.8721427917480469,0.5210903882980347,0.0224323906004428,0.5210903882980347,0.0224323906004428,0.5210903882980347
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,15,False,True,3,0,IDRiD_data/test/dsevereDR/IDRiD_060.png,0.6112798452377319,0.2583875358104706,0.8157836198806763,0.4506549537181854,0.0136911235749721,0.4506549537181854,0.0136911235749721,0.4506549537181854
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,22,False,True,2,0,IDRiD_data/test/cmoderateDR/IDRiD_076.png,0.6959330439567566,0.4144095182418823,0.7122448682785034,0.3533384799957275,0.0136742684990167,0.3533384799957275,0.0136742684990167,0.3533384799957275
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,0.1,26,False,True,4,2,IDRiD_data/test/eproDR/IDRiD_087.png,0.5248754024505615,0.3399103879928589,1.2248882055282593,2.3163905143737797,0.3052197992801666,0.3163905143737793,0.3052197992801666,0.3163905143737793
